application,configured_copies,probe_id,requested_tx_mpps,tx_cap_mpps,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
xdp-clone,8,4,0.75,3.3333333333333335,0.75253875,6.62577975,6.7728487500000005,0.7361977500000001,9.0,0.9782855035704141,False
xdp-clone,8,5,0.625,3.3333333333333335,0.62704925,5.629758,5.64344325,0.6255286666666666,9.0,0.9975750176986364,True
xdp-clone,8,6,0.6875,3.3333333333333335,0.69007825,6.05641325,6.21070425,0.6729348055555556,9.0,0.9751572456537437,False
xdp-clone,8,7,0.65625,3.3333333333333335,0.658804,5.838524,5.9292359999999995,0.6487248888888888,9.0,0.984700895697186,False
xdp-clone,8,8,0.640625,3.3333333333333335,0.6438535,5.68917025,5.794681499999999,0.6321300277777778,9.0,0.9817917084830289,False
xdp-clone,16,1,0.25,1.7647058823529411,0.2509095,4.2564185,4.2654615,0.2503775588235294,17.0,0.9978799480431367,True
xdp-clone,16,2,0.5,1.7647058823529411,0.50186925,6.76359975,8.531777250000001,0.3978588088235294,17.0,0.792753907165122,False
xdp-clone,16,3,0.375,1.7647058823529411,0.3762415,5.953786,6.3961055,0.35022270588235294,17.0,0.9308454965290989,False
xdp-clone,16,4,0.3125,1.7647058823529411,0.3134415,5.19482275,5.3285054999999995,0.3055778088235294,17.0,0.9749117740424591,False
xdp-clone,16,5,0.28125,1.7647058823529411,0.28226225,4.56215975,4.7984582499999995,0.26836233823529415,17.0,0.950755328547456,False
xdp-clone,16,6,0.265625,1.7647058823529411,0.26655025,4.3598735,4.53135425,0.2564631470588235,17.0,0.9621568430673899,False
xdp-clone,32,1,0.25,0.9090909090909091,0.2506745,6.907688,8.272258500000001,0.2093238787878788,33.0,0.8350425702968541,False
xdp-clone,32,2,0.125,0.9090909090909091,0.12531075,4.12175275,4.13525475,0.12490159848484848,33.0,0.9967349049051936,True
xdp-clone,32,3,0.1875,0.9090909090909091,0.187958,5.740148,6.202614,0.1739438787878788,33.0,0.9254401450743187,False
xdp-clone,32,4,0.15625,0.9090909090909091,0.15677,4.8716595,5.17341,0.14762604545454544,33.0,0.9416728038179847,False
xdp-clone,32,5,0.140625,0.9090909090909091,0.14107075,4.62810225,4.65533475,0.14024552272727275,33.0,0.9941502595490046,True
xdp-clone,64,1,0.25,0.46153846153846156,0.2506465,7.49152025,16.292022499999998,0.1152541576923077,65.0,0.4598275168107582,False
xdp-clone,64,2,0.125,0.46153846153846156,0.125282,6.14696025,8.14333,0.09456861923076923,65.0,0.7548460212222764,False
xdp-clone,64,3,0.0625,0.46153846153846156,0.06276025,3.992657,4.07941625,0.06142549230769231,65.0,0.9787324350634725,False
xdp-clone,64,4,0.03125,0.46153846153846156,0.0313675,2.0384945,2.0388875,0.031361453846153846,65.0,0.9998072478251008,True
xdp-clone,64,5,0.046875,0.46153846153846156,0.04710975,3.05655975,3.06213375,0.04702399615384615,65.0,0.9981797006744071,True
