scope,application,configured_copies,tx_cap_mpps,max_no_loss_tx_mpps,max_no_loss_rx_mpps,max_no_loss_input_equiv_mpps,fanout_multiplier,delivery_ratio,success_threshold
per_copies,xdp-clone,0,30.0,9.49981575,9.43634075,9.43634075,1.0,0.9933182914626528,0.99
per_copies,xdp-clone,1,15.0,5.6393635,11.2564695,5.62823475,2.0,0.9980265946679975,0.99
per_copies,xdp-clone,2,10.0,4.1507465,12.39902225,4.133007416666667,3.0,0.9957262908410972,0.99
per_copies,xdp-clone,4,6.0,2.52191675,12.5273295,2.5054659,5.0,0.9934768465295297,0.99
per_copies,xdp-clone,8,3.3333333333333335,0.62704925,5.629758,0.6255286666666666,9.0,0.9975750176986364,0.99
per_copies,xdp-clone,16,1.7647058823529411,0.2509095,4.2564185,0.2503775588235294,17.0,0.9978799480431367,0.99
per_copies,xdp-clone,32,0.9090909090909091,0.14107075,4.62810225,0.14024552272727275,33.0,0.9941502595490046,0.99
per_copies,xdp-clone,64,0.46153846153846156,0.04710975,3.05655975,0.04702399615384615,65.0,0.9981797006744071,0.99
per_application,xdp-clone,ALL,30.0,9.49981575,9.43634075,9.43634075,1.0,0.9933182914626528,0.99
