scope,application,configured_copies,tx_cap_mpps,ndr_tx_mpps,ndr_rx_mpps,ndr_input_equiv_mpps,fanout_multiplier,confirm_tx_mpps_mean,confirm_tx_mpps_stddev,confirm_rx_mpps_mean,confirm_rx_mpps_stddev,confirm_input_equiv_mpps_mean,confirm_input_equiv_mpps_stddev,confirm_delivery_ratio_mean,confirm_delivery_ratio_stddev,success_threshold
per_copies,xdp-clone,0,30.0,10.20224975,10.115344,10.115344,1.0,10.189010666666666,0.0011056055279047388,10.119835166666666,0.019765674144734915,10.119835166666666,0.019765674144734915,0.9932108396014367,0.0019868889166399666,0.99
per_copies,xdp-clone,1,15.0,6.1771105,12.24371,6.121855,2.0,6.176676499999999,0.00017820844536679806,12.162946833333335,0.04682129482760325,6.081473416666667,0.023410647413801625,0.9845867368158988,0.003811630677551806,0.99
per_copies,xdp-clone,2,10.0,4.24834775,12.7072515,4.2357505,3.0,4.248505083333334,0.00021464073665877602,12.4917015,0.04689657465903105,4.1639005000000004,0.01563219155301007,0.9800859746030267,0.0036551848203548658,0.99
per_copies,xdp-clone,4,6.0,2.3200045,11.5065795,2.3013159,5.0,2.3205096666666667,0.00010947497811530712,11.451348166666667,0.07818410566146608,2.290269633333333,0.015636821132293224,0.9869685759815594,0.006784225392128392,0.99
per_copies,xdp-clone,8,3.3333333333333335,0.64283925,5.75063975,0.6389599722222222,9.0,0.6428446666666666,9.682598222235484e-05,5.620495583333334,0.09286308572110777,0.6244995092592592,0.010318120635678635,0.9714641542788526,0.016197245816076445,0.99
per_copies,xdp-clone,16,1.7647058823529411,0.26651675,4.5268325,0.26628426470588235,17.0,0.26654025,3.249134500140445e-05,4.46087225,0.08232997554505903,0.26240424999999995,0.004842939737944659,0.9844824929016535,0.018156115974654042,0.99
per_copies,xdp-clone,32,0.9090909090909091,0.10978175,3.62227325,0.10976585606060607,33.0,0.10974075,3.92754694434082e-05,3.6097591666666666,0.01940282316013157,0.10938664141414141,0.0005879643381858109,0.9967736821479832,0.005471464486952615,0.99
per_copies,xdp-clone,64,0.46153846153846156,0.0471,3.050553,0.04693158461538461,65.0,0.04709841666666666,1.5879100520285643e-05,3.060957166666667,0.0011799523383735683,0.04709164871794872,1.815311289805465e-05,0.9998562933249784,9.4434320983823e-05,0.99
per_copies,xdp-clone,128,0.23255813953488372,0.01436675,1.8532525,0.014366298449612402,129.0,0.014352250000000002,5.129571132170729e-06,1.8422597500000002,0.015098185133071443,0.014281083333333333,0.00011704019483001165,0.995039751458071,0.00783536506159913,0.99
per_application,xdp-clone,0,30.0,10.20224975,10.115344,10.115344,1.0,10.189010666666666,0.0011056055279047388,10.119835166666666,0.019765674144734915,10.119835166666666,0.019765674144734915,0.9932108396014367,0.0019868889166399666,0.99
