application,configured_copies,repetitions,min_mean,min_stddev,avg_mean,avg_stddev,max_mean,max_stddev,p50_mean,p50_stddev,p90_mean,p90_stddev,p95_mean,p95_stddev,p99_mean,p99_stddev,rx_tx_ratio_mean,rx_tx_ratio_stddev,copies_mean,copies_stddev
xdp-clone,0,5,4.4,0.5477225575051661,8.4,0.8944271909999159,9.0,1.7320508075688772,107.75,194.83390362049414,680.45,937.7615955028228,1005.475,1148.3788148951546,1255.495,1493.895661271786,1.0,0.0,0.0,0.0
xdp-clone,1,5,4.0,0.0,8.0,0.0,9.0,0.0,384.0,445.23027749693756,1204.0,1299.2420867567369,1204.0,1299.2420867567369,1204.0,1299.2420867567369,1.0,0.0,0.0,0.0
xdp-clone,2,5,4.0,0.0,8.4,0.8944271909999159,9.4,0.8944271909999159,105.2568493150685,133.98704864058791,505.46232876712327,699.381881761941,505.48801369863014,699.3455577834554,1000.0,0.0,1.0,0.0,0.0,0.0
xdp-clone,4,2,4.0,0.0,41.5,0.7071067811865476,52.0,0.0,41.88494437405912,0.036365973382420966,50.47100453184836,0.02123720762907355,51.23857446254476,0.014963345941641261,51.852630407101884,0.009944256591697438,1.0,0.0,0.0,0.0
