application,configured_copies,repetitions,min_mean,min_stddev,avg_mean,avg_stddev,max_mean,max_stddev,p50_mean,p50_stddev,p90_mean,p90_stddev,p95_mean,p95_stddev,p99_mean,p99_stddev,rx_tx_ratio_mean,rx_tx_ratio_stddev,copies_mean,copies_stddev
xdp-clone,0,5,4.6,1.3416407864998738,8.0,0.0,8.2,0.4472135954999579,4.100839832033594,0.2241443278748883,7.381511697660467,0.40345979017479894,7.791595680863827,0.4258742229622877,8.119662867426516,0.44380576919227877,1.0,0.0,0.0,0.0
xdp-clone,1,5,4.0,0.0,8.0,0.0,9.2,0.4472135954999579,4.618472488215889,0.2334055314379682,8.3132504787886,0.4201299565883419,8.775097727610188,0.443470509732139,9.342043082762064,0.5860220054896794,1.0,0.0,0.0,0.0
xdp-clone,2,5,4.0,0.0,8.0,0.0,10.8,2.4899799195977463,4.737504418780864,0.26915785558268934,8.527507953805555,0.4844841400488397,9.00125839568364,0.5113999256071085,9.545081140624678,0.5793419019494862,1.0,0.0,0.0,0.0
xdp-clone,4,5,4.0,0.0,41.0,0.0,52.4,0.5477225575051661,41.77497755003702,0.05200888421516472,50.54724958670279,0.13562008138641152,51.47362479335139,0.34107653914442676,52.214724958670274,0.5063679783336261,1.0,0.0,0.0,0.0
xdp-clone,8,5,4.0,0.0,42.0,0.0,53.0,0.0,42.28319440777395,0.01897346546616695,51.04643683513362,0.022528860311320797,52.02321841756681,0.011264430155658726,52.80464368351336,0.0022528860311313735,1.0,0.0,0.0,0.0
xdp-clone,16,5,4.0,0.0,43.0,0.0,55.0,0.7071067811865476,43.53187421544656,0.02650420780671173,52.624235812718396,0.37559154201262257,53.8121179063592,0.541240946399376,54.76242358127185,0.6739239673930798,1.0,0.0,0.0,0.0
xdp-clone,32,5,4.0,0.0,44.0,0.0,57.2,0.4472135954999579,45.288576646165275,0.11734017476926363,54.731377453243354,0.29236952618535356,55.96616106130453,0.3683647191837053,56.95398794775349,0.4308991301498483,1.0,0.0,0.0,0.0
xdp-clone,64,5,4.0,0.0,47.0,0.0,60.6,2.5099800796022267,48.094680394870736,0.1298219531902049,57.361123937554304,0.46508886241754815,58.52430609728718,0.5297620081257178,59.454851825073504,0.5818535197770265,1.0,0.0,0.0,0.0
xdp-clone,128,5,4.0,0.0,53.0,0.0,66.0,0.7071067811865476,53.796331881830305,0.0857442284723921,63.358800316354916,0.4030915876272076,64.68144915762932,0.5537486802967476,65.73956823064884,0.6751633800463795,1.0,0.0,0.0,0.0
