scope,application,configured_copies,tx_cap_mpps,rate_capped,ndr_tx_mpps,ndr_rx_mpps,ndr_input_equiv_mpps,fanout_multiplier,confirm_tx_mpps_mean,confirm_tx_mpps_stddev,confirm_rx_mpps_mean,confirm_rx_mpps_stddev,confirm_input_equiv_mpps_mean,confirm_input_equiv_mpps_stddev,confirm_delivery_ratio_mean,confirm_delivery_ratio_stddev,success_threshold
per_copies,xdp-clone,0,30.0,False,6.73428325,6.70911775,6.70911775,1.0,6.738214083333332,0.002584812569768442,6.673854333333334,0.015775204167326407,6.673854333333334,0.015775204167326407,0.9904489510697351,0.0025575787758642977,0.99
per_copies,xdp-clone,1,15.0,False,4.49887125,8.949216,4.474608,2.0,4.499147083333334,0.00027462079916362877,8.9735995,0.016000852703840714,4.48679975,0.008000426351920357,0.9972555987951482,0.00175248224712226,0.99
per_copies,xdp-clone,2,10.0,False,3.636499,10.80189475,3.6006315833333336,3.0,3.636833166666667,0.00030476808122457895,10.6612665,0.09197791781149164,3.5537555,0.03065930593716401,0.977156187319053,0.008359658212367133,0.99
per_copies,xdp-clone,4,6.0,False,2.101008,10.40917075,2.0818341499999997,5.0,2.100851,0.00019289634522206902,10.419487583333334,0.025156891602169825,2.0838975166666667,0.005031378320433848,0.9919301123069119,0.002349013111950845,0.99
per_copies,xdp-clone,8,3.3333333333333335,False,1.065992,9.55065625,1.0611840277777778,9.0,1.0662026666666666,0.0006103414174323982,9.540169166666667,0.01864960107035274,1.0600187962962961,0.002072177896705792,0.994200775591337,0.002338940760947942,0.99
per_copies,xdp-clone,16,1.7647058823529411,False,0.32931225,5.5982615,0.3293095,17.0,0.3294945,0.0002801369084929835,5.601470249999999,0.004692005774452887,0.32949825000000005,0.00027600033967370647,1.0000113882854433,2.1053404545366807e-05,0.99
per_copies,xdp-clone,32,0.9090909090909091,False,0.1255285,4.1424405,0.12552850000000002,33.0,0.12537241666666665,6.18214835905266e-05,4.13731725,0.002111564896587406,0.12537325,6.398681504810786e-05,1.0000066411948856,1.8095574721776567e-05,0.99
per_copies,xdp-clone,64,0.46153846153846156,False,0.0470825,3.06031375,0.047081750000000006,65.0,0.047100416666666665,1.0016652800877325e-05,3.06148975,0.0007211679762719298,0.04709984230769231,1.109489194264565e-05,0.9999878026393723,3.5084376311459944e-05,0.99
per_copies,inline-xdp-clone,0,30.0,False,6.803673,6.76548425,6.76548425,1.0,6.803430083333333,0.00021770770733600846,6.723815916666666,0.022829020818266637,6.723815916666666,0.022829020818266637,0.988298006228662,0.003385702857868583,0.99
per_copies,inline-xdp-clone,1,15.0,False,4.31081875,8.5702385,4.28511925,2.0,4.310816833333334,0.00013163831445788858,8.47859275,0.016351139388816233,4.239296375,0.008175569694408117,0.9834090835733909,0.0019064324950988712,0.99
per_copies,inline-xdp-clone,2,10.0,False,3.26031525,9.73817625,3.24605875,3.0,3.260877166666667,0.0003612110128904766,9.647235333333334,0.02549674298603324,3.2157451111111115,0.008498914328677831,0.9861593525252275,0.002497936490126149,0.99
per_copies,inline-xdp-clone,4,6.0,False,1.89725175,9.40616,1.881232,5.0,1.8972201666666668,0.00013680308232398068,9.406755333333335,0.020808476131034974,1.8813510666666666,0.0041616952262069455,0.9916355071871997,0.002125415938891744,0.99
per_copies,inline-xdp-clone,8,3.3333333333333335,False,0.9719905,8.68793275,0.9653258611111111,9.0,0.97190075,8.28519010041634e-05,8.722320083333335,0.008186784718119835,0.9691466759259258,0.0009096427464577418,0.9971662931598712,0.0009191929264074551,0.99
per_copies,inline-xdp-clone,16,1.7647058823529411,False,0.31355075,5.33041825,0.31355401470588234,17.0,0.3135673333333333,1.3625191130164178e-05,5.330670166666667,0.0002092594581696785,0.31356883333333335,1.2309379892315514e-05,1.0000047838001391,8.285784894356116e-06,0.99
per_copies,inline-xdp-clone,32,0.9090909090909091,False,0.1254035,4.1383155,0.1254035,33.0,0.12543416666666665,9.827681991856202e-06,4.139357749999999,0.00030405848532822667,0.12543508333333334,9.213893494803286e-06,1.0000073082514145,1.2658262764245189e-05,0.99
per_copies,inline-xdp-clone,64,0.46153846153846156,False,0.04711175,3.06207175,0.04710879615384615,65.0,0.047101833333333336,2.234157186353247e-05,3.0616236666666663,0.001400365517760645,0.047101902564102564,2.1544084888627505e-05,1.0000014751985342,1.98090538220945e-05,0.99
per_application,xdp-clone,ALL,30.0,False,6.73428325,6.70911775,6.70911775,1.0,6.738214083333332,0.002584812569768442,6.673854333333334,0.015775204167326407,6.673854333333334,0.015775204167326407,0.9904489510697351,0.0025575787758642977,0.99
per_application,inline-xdp-clone,ALL,30.0,False,6.803673,6.76548425,6.76548425,1.0,6.803430083333333,0.00021770770733600846,6.723815916666666,0.022829020818266637,6.723815916666666,0.022829020818266637,0.988298006228662,0.003385702857868583,0.99
