application,configured_copies,probe_id,phase,repetition,requested_tx_mpps,tx_cap_mpps,rate_capped,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
xdp-clone,64,1,search,0,0.25,0.46153846153846156,False,0.25086725,4.00231325,16.306371249999998,0.061574050000000005,65.0,0.24544475215477513,False
xdp-clone,64,2,search,0,0.125,0.46153846153846156,False,0.125414,3.99974425,8.151909999999999,0.061534526923076927,65.0,0.49065117868082453,False
xdp-clone,64,3,search,0,0.0625,0.46153846153846156,False,0.06273425,4.012064,4.07772625,0.061724061538461536,65.0,0.9838973373948287,False
xdp-clone,64,4,search,0,0.03125,0.46153846153846156,False,0.03136275,2.03861125,2.03857875,0.03136325,65.0,1.0000159424795338,True
xdp-clone,64,5,search,0,0.046875,0.46153846153846156,False,0.0470825,3.06031375,3.0603625,0.047081750000000006,65.0,0.9999840705145224,True
xdp-clone,64,100,confirm,1,0.046875,0.46153846153846156,False,0.04709675,3.06132125,3.06128875,0.04709725,65.0,1.0000106164438098,True
xdp-clone,64,101,confirm,2,0.046875,0.46153846153846156,False,0.04711175,3.06228025,3.06226375,0.04711200384615385,65.0,1.000005388170761,True
xdp-clone,64,102,confirm,3,0.046875,0.46153846153846156,False,0.04709275,3.06086775,3.06102875,0.047090273076923074,65.0,0.9999474033035461,True
inline-xdp-clone,0,1,search,0,0.25,30.0,False,0.25067475,0.250674,0.25067475,0.250674,1.0,0.9999970080752051,True
inline-xdp-clone,0,2,search,0,0.5,30.0,False,0.5012705,0.50126625,0.5012705,0.50126625,1.0,0.9999915215437575,True
inline-xdp-clone,0,3,search,0,1.0,30.0,False,1.00257,1.0025755,1.00257,1.0025755,1.0,1.000005485901234,True
inline-xdp-clone,0,4,search,0,2.0,30.0,False,2.005379,2.00534725,2.005379,2.00534725,1.0,0.99998416758129,True
inline-xdp-clone,0,5,search,0,4.0,30.0,False,4.0116365,4.0115965,4.0116365,4.0115965,1.0,0.9999900290068653,True
inline-xdp-clone,0,6,search,0,8.0,30.0,False,8.026124,7.16238375,8.026124,7.16238375,1.0,0.8923838891599483,False
inline-xdp-clone,0,7,search,0,6.0,30.0,False,6.0194255,6.019448,6.0194255,6.019448,1.0,1.000003737898243,True
inline-xdp-clone,0,8,search,0,7.0,30.0,False,7.02339625,6.767248,7.02339625,6.767248,1.0,0.9635292896937148,False
inline-xdp-clone,0,9,search,0,6.5,30.0,False,6.5213275,6.52138375,6.5213275,6.52138375,1.0,1.0000086255444156,True
inline-xdp-clone,0,10,search,0,6.75,30.0,False,6.7726195,6.709227,6.7726195,6.709227,1.0,0.9906398846118551,True
inline-xdp-clone,0,11,search,0,6.875,30.0,False,6.8990755,6.75591175,6.8990755,6.75591175,1.0,0.9792488500814348,False
inline-xdp-clone,0,12,search,0,6.8125,30.0,False,6.83508675,6.7651605,6.83508675,6.7651605,1.0,0.9897695153613083,False
inline-xdp-clone,0,13,search,0,6.78125,30.0,False,6.803673,6.76548425,6.803673,6.76548425,1.0,0.9943870391772209,True
inline-xdp-clone,0,14,search,0,6.796875,30.0,False,6.81862125,6.7197705,6.81862125,6.7197705,1.0,0.9855028243429712,False
inline-xdp-clone,0,117,confirm,1,6.78125,30.0,False,6.803677,6.6976105,6.803677,6.6976105,1.0,0.9844104151328759,False
inline-xdp-clone,0,118,confirm,2,6.78125,30.0,False,6.80326575,6.7344445,6.80326575,6.7344445,1.0,0.9898840861831688,False
inline-xdp-clone,0,119,confirm,3,6.78125,30.0,False,6.8033475,6.73939275,6.8033475,6.73939275,1.0,0.9905995173699418,True
inline-xdp-clone,1,1,search,0,0.25,15.0,False,0.25090275,0.5018035,0.5018055,0.25090175,2.0,0.9999960143920302,True
inline-xdp-clone,1,2,search,0,0.5,15.0,False,0.501237,1.002462,1.002474,0.501231,2.0,0.999988029614733,True
inline-xdp-clone,1,3,search,0,1.0,15.0,False,1.002631,2.005266,2.005262,1.002633,2.0,1.000001994751808,True
inline-xdp-clone,1,4,search,0,2.0,15.0,False,2.00623175,4.012508,4.0124635,2.006254,2.0,1.0000110904435642,True
inline-xdp-clone,1,5,search,0,4.0,15.0,False,4.013247,8.0265255,8.026494,4.01326275,2.0,1.0000039245030272,True
inline-xdp-clone,1,6,search,0,8.0,15.0,False,8.027024,8.881152,16.054048,4.440576,2.0,0.5532032793224487,False
inline-xdp-clone,1,7,search,0,6.0,15.0,False,6.01974775,8.698865,12.0394955,4.3494325,2.0,0.722527368360244,False
inline-xdp-clone,1,8,search,0,5.0,15.0,False,5.01435625,8.629344,10.0287125,4.314672,2.0,0.8604637933333915,False
inline-xdp-clone,1,9,search,0,4.5,15.0,False,4.514415,8.66768,9.02883,4.33384,2.0,0.9600003544202296,False
inline-xdp-clone,1,10,search,0,4.25,15.0,False,4.26659175,8.509273,8.5331835,4.2546365,2.0,0.9971979390810007,True
inline-xdp-clone,1,11,search,0,4.375,15.0,False,4.3891115,8.55328025,8.778223,4.276640125,2.0,0.9743749105029571,False
inline-xdp-clone,1,12,search,0,4.3125,15.0,False,4.32655125,8.5250285,8.6531025,4.26251425,2.0,0.9851990658841728,False
inline-xdp-clone,1,13,search,0,4.28125,15.0,False,4.29785225,8.531552,8.5957045,4.265776,2.0,0.992536679221581,True
inline-xdp-clone,1,14,search,0,4.296875,15.0,False,4.31081875,8.5702385,8.6216375,4.28511925,2.0,0.9940383714810557,True
inline-xdp-clone,1,134,confirm,1,4.296875,15.0,False,4.3108285,8.4959345,8.621657,4.24796725,2.0,0.9854178262948757,False
inline-xdp-clone,1,135,confirm,2,4.296875,15.0,False,4.31067975,8.47638775,8.6213595,4.238193875,2.0,0.9831845835914858,False
inline-xdp-clone,1,136,confirm,3,4.296875,15.0,False,4.31094225,8.463456,8.6218845,4.231728,2.0,0.9816248408338109,False
inline-xdp-clone,2,1,search,0,0.25,10.0,False,0.2508495,0.75254775,0.7525485000000001,0.25084924999999997,3.0,0.9999990033864926,True
inline-xdp-clone,2,2,search,0,0.5,10.0,False,0.50156775,1.504671,1.50470325,0.501557,3.0,0.9999785672025365,True
inline-xdp-clone,2,3,search,0,1.0,10.0,False,1.00330325,3.00992925,3.0099097500000003,1.00330975,3.0,1.000006478599566,True
inline-xdp-clone,2,4,search,0,2.0,10.0,False,2.0063735,6.019231,6.0191205,2.0064103333333336,3.0,1.0000183581637883,True
inline-xdp-clone,2,5,search,0,4.0,10.0,False,4.0130305,9.719616,12.039091500000001,3.239872,3.0,0.8073379955622066,False
inline-xdp-clone,2,6,search,0,3.0,10.0,False,3.0100705,9.0301965,9.0302115,3.0100655,3.0,0.9999983389093379,True
inline-xdp-clone,2,7,search,0,3.5,10.0,False,3.51122375,9.6072,10.533671250000001,3.2024000000000004,3.0,0.9120466902742953,False
inline-xdp-clone,2,8,search,0,3.25,10.0,False,3.26031525,9.73817625,9.78094575,3.24605875,3.0,0.9956272633451627,True
inline-xdp-clone,2,9,search,0,3.375,10.0,False,3.38568475,9.76619475,10.15705425,3.2553982500000003,3.0,0.9615184195752425,False
inline-xdp-clone,2,10,search,0,3.3125,10.0,False,3.3231565,9.804636,9.9694695,3.268212,3.0,0.9834661713945761,False
inline-xdp-clone,2,11,search,0,3.28125,10.0,False,3.29190675,9.54652725,9.87572025,3.1821757500000003,3.0,0.9666664312407999,False
inline-xdp-clone,2,12,search,0,3.265625,10.0,False,3.27601275,9.6334925,9.82803825,3.2111641666666664,3.0,0.980205027183324,False
inline-xdp-clone,2,149,confirm,1,3.25,10.0,False,3.2606665,9.635856,9.781999500000001,3.211952,3.0,0.9850599563003453,False
inline-xdp-clone,2,150,confirm,2,3.25,10.0,False,3.26129425,9.67644025,9.78388275,3.2254800833333337,3.0,0.989018419093381,False
inline-xdp-clone,2,151,confirm,3,3.25,10.0,False,3.26067075,9.62940975,9.782012250000001,3.20980325,3.0,0.984399682181956,False
inline-xdp-clone,4,1,search,0,0.25,6.0,False,0.2508775,1.2543825,1.2543875,0.2508765,5.0,0.999996013990892,True
inline-xdp-clone,4,2,search,0,0.5,6.0,False,0.50163375,2.50814,2.50816875,0.501628,5.0,0.9999885374538695,True
inline-xdp-clone,4,3,search,0,1.0,6.0,False,1.003325,5.016736,5.016625,1.0033471999999999,5.0,1.0000221264296214,True
inline-xdp-clone,4,4,search,0,2.0,6.0,False,2.0062655,9.42056,10.0313275,1.884112,5.0,0.9391139906458044,False
inline-xdp-clone,4,5,search,0,1.5,6.0,False,1.50557625,7.52776375,7.52788125,1.50555275,5.0,0.9999843913584583,True
inline-xdp-clone,4,6,search,0,1.75,6.0,False,1.756176,8.78090375,8.78088,1.75618075,5.0,1.0000027047402995,True
inline-xdp-clone,4,7,search,0,1.875,6.0,False,1.8815585,9.37056,9.4077925,1.8741119999999998,5.0,0.9960423765723999,True
inline-xdp-clone,4,8,search,0,1.9375,6.0,False,1.945381,9.4403005,9.726905,1.8880601,5.0,0.9705348720893233,False
inline-xdp-clone,4,9,search,0,1.90625,6.0,False,1.914671,9.45437525,9.573355,1.89087505,5.0,0.9875717812616371,False
inline-xdp-clone,4,10,search,0,1.890625,6.0,False,1.89725175,9.40616,9.48625875,1.881232,5.0,0.9915563393208098,True
inline-xdp-clone,4,162,confirm,1,1.890625,6.0,False,1.897372,9.42682575,9.48686,1.8853651500000002,5.0,0.9936718524358956,True
inline-xdp-clone,4,163,confirm,2,1.890625,6.0,False,1.8971065,9.38528,9.4855325,1.877056,5.0,0.9894310098036141,False
inline-xdp-clone,4,164,confirm,3,1.890625,6.0,False,1.897182,9.40816025,9.48591,1.88163205,5.0,0.9918036593220892,True
inline-xdp-clone,8,1,search,0,0.25,3.3333333333333335,False,0.25079575,2.25715725,2.25716175,0.25079525,9.0,0.9999980063458014,True
inline-xdp-clone,8,2,search,0,0.5,3.3333333333333335,False,0.50171525,4.51524825,4.51543725,0.50169425,9.0,0.99995814358842,True
inline-xdp-clone,8,3,search,0,1.0,3.3333333333333335,False,1.004261,8.673552,9.038349,0.9637280000000001,9.0,0.9596389783134066,False
inline-xdp-clone,8,4,search,0,0.75,3.3333333333333335,False,0.75248425,6.7726305,6.77235825,0.7525145,9.0,1.0000402001769473,True
inline-xdp-clone,8,5,search,0,0.875,3.3333333333333335,False,0.87786375,7.9006165,7.900773750000001,0.8778462777777778,9.0,0.9999800968860801,True
inline-xdp-clone,8,6,search,0,0.9375,3.3333333333333335,False,0.940744,8.466579,8.466696,0.940731,9.0,0.9999861811502384,True
inline-xdp-clone,8,7,search,0,0.96875,3.3333333333333335,False,0.9719905,8.68793275,8.7479145,0.9653258611111111,9.0,0.9931433086137272,True
inline-xdp-clone,8,8,search,0,0.984375,3.3333333333333335,False,0.98750275,8.697888,8.88752475,0.9664320000000001,9.0,0.9786625910662021,False
inline-xdp-clone,8,173,confirm,1,0.96875,3.3333333333333335,False,0.97181325,8.723952,8.746319249999999,0.9693280000000001,9.0,0.9974426670967906,True
inline-xdp-clone,8,174,confirm,2,0.96875,3.3333333333333335,False,0.971911,8.71344025,8.747199,0.9681600277777778,9.0,0.9961406217007295,True
inline-xdp-clone,8,175,confirm,3,0.96875,3.3333333333333335,False,0.971978,8.729568,8.747802,0.969952,9.0,0.9979155906820937,True
inline-xdp-clone,16,1,search,0,0.25,1.7647058823529411,False,0.25086075,4.2646285,4.2646327500000005,0.2508605,17.0,0.9999990034311862,True
inline-xdp-clone,16,2,search,0,0.5,1.7647058823529411,False,0.501653,5.45944375,8.528101,0.32114375,17.0,0.6401710943620391,False
inline-xdp-clone,16,3,search,0,0.375,1.7647058823529411,False,0.37622225,5.46923275,6.395778249999999,0.3217195735294118,17.0,0.855131703479557,False
inline-xdp-clone,16,4,search,0,0.3125,1.7647058823529411,False,0.31355075,5.33041825,5.33036275,0.31355401470588234,17.0,1.000010412049349,True
inline-xdp-clone,16,5,search,0,0.34375,1.7647058823529411,False,0.34494475,5.44472375,5.86406075,0.3202778676470588,17.0,0.9284903383717502,False
inline-xdp-clone,16,6,search,0,0.328125,1.7647058823529411,False,0.32923925,5.463674,5.597067249999999,0.32139258823529415,17.0,0.9761672954706772,False
inline-xdp-clone,16,182,confirm,1,0.3125,1.7647058823529411,False,0.31355825,5.33056675,5.3304902499999995,0.31356275,17.0,1.0000143514004176,True
inline-xdp-clone,16,183,confirm,2,0.3125,1.7647058823529411,False,0.313583,5.330911,5.330911,0.313583,17.0,1.0,True
inline-xdp-clone,16,184,confirm,3,0.3125,1.7647058823529411,False,0.31356075,5.33053275,5.33053275,0.31356075,17.0,1.0,True
inline-xdp-clone,32,1,search,0,0.25,0.9090909090909091,False,0.2508505,4.330128,8.2780665,0.131216,33.0,0.5230844666444755,False
inline-xdp-clone,32,2,search,0,0.125,0.9090909090909091,False,0.1254035,4.1383155,4.1383155,0.1254035,33.0,1.0,True
inline-xdp-clone,32,3,search,0,0.1875,0.9090909090909091,False,0.18806175,4.328016,6.20603775,0.131152,33.0,0.6973879590081449,False
inline-xdp-clone,32,4,search,0,0.15625,0.9090909090909091,False,0.1567615,4.327488,5.1731295,0.131136,33.0,0.8365319290769736,False
inline-xdp-clone,32,5,search,0,0.140625,0.9090909090909091,False,0.14107775,4.327459,4.65556575,0.13113512121212123,33.0,0.9295237641096574,False
